Geofono,Magnitude,Position X,Position Y,Real,Imag
1,1.055081842,0,-0.02,0.958563164,0.440856388
2,0.676057303,0.01,-0.02,0.362489043,0.570662046
3,0.231576122,0.02,-0.02,-0.144070583,0.181304074
4,0.454091548,0.03,-0.02,-0.18654333,-0.414005701
5,0.774136255,0.04,-0.02,0.250641461,-0.732438256
6,0.923342532,0.05,-0.02,0.800902153,-0.459474888
7,1.015880685,0.06,-0.02,0.966363467,0.313297327
8,1.221536948,0.07,-0.02,0.478548935,1.12389654
9,1.518200485,0.08,-0.02,-0.481549765,1.439806423
10,1.711849435,0.09,-0.02,-1.369821056,1.02665416
11,1.635926045,0.1,-0.02,-1.630732993,0.130245649
12,1.272390109,0.11,-0.02,-1.0833692,-0.667298859
13,0.839125179,0.12,-0.02,-0.072645241,-0.835974722
14,0.785153994,0.13,-0.02,0.736230312,-0.272821778
15,0.999965626,0.14,-0.02,0.798674606,0.601706015
16,1.114200088,0.15,-0.02,0.073795567,1.111753593
17,1.216469591,0.16,-0.02,-0.921502626,0.794122897
18,1.467201323,0.17,-0.02,-1.445753553,-0.249952767
19,1.726953082,0.18,-0.02,-1.043758916,-1.375839479
20,1.805865037,0.19,-0.02,0.111490067,-1.802420178
21,1.733198269,0.2,-0.02,1.297678881,-1.148915036
22,1.736354958,0.21,-0.02,1.71610625,0.264400984
23,1.89885911,0.22,-0.02,1.054210089,1.579337522
24,1.964939069,0.23,-0.02,-0.251497929,1.948777652
25,1.685853926,0.24,-0.02,-1.260938625,1.118989385
26,1.206636445,0.25,-0.02,-1.152742543,-0.356589595
27,1.459606152,0.26,-0.02,0.180866004,-1.448356865
28,2.394302364,0.27,-0.02,1.985356595,-1.338298548
29,3.083357853,0.28,-0.02,3.083325809,-0.014057324
30,3.121579718,0.29,-0.02,2.648882243,1.651569799
31,2.566398989,0.3,-0.02,0.810631893,2.435011233
32,2.086315866,0.31,-0.02,-1.347515383,1.592769973
33,2.504444212,0.32,-0.02,-2.440999742,-0.560143795
34,3.233183032,0.33,-0.02,-1.703923162,-2.747747873
35,3.530523855,0.34,-0.02,0.432564645,-3.503924446
36,3.320297825,0.35,-0.02,2.527145779,-2.15358117
37,3.090173961,0.36,-0.02,3.022363093,0.643813982
38,3.453713659,0.37,-0.02,1.302767615,3.198583214
39,4.214240348,0.38,-0.02,-1.783007848,3.818468899
40,4.751576374,0.39,-0.02,-4.338052593,1.938756751
41,4.785335919,0.4,-0.02,-4.579198868,-1.389380287
42,4.521185223,0.41,-0.02,-2.040601741,-4.034483902
43,4.534637986,0.42,-0.02,1.973960818,-4.082452738
44,5.174040536,0.43,-0.02,5.053373127,-1.110907515
45,6.140072894,0.44,-0.02,5.117778813,3.392467415
46,7.030958328,0.45,-0.02,1.760692746,6.806932941
47,7.719899721,0.46,-0.02,-3.38462158,6.938385148
48,8.307615729,0.47,-0.02,-7.574889639,3.41138184
49,8.942187282,0.48,-0.02,-8.711269513,-2.019033645
50,9.512786541,0.49,-0.02,-6.925564921,-6.521476696
51,9.479047784,0.5,-0.02,-5.040382488,-8.027882116
52,9.512780563,0.51,-0.02,-6.925563355,-6.52146964
53,8.942180956,0.52,-0.02,-8.711265584,-2.019022577
54,8.30761273,0.53,-0.02,-7.574883359,3.41138848
55,7.719898042,0.54,-0.02,-3.384611345,6.938388273
56,7.030960633,0.55,-0.02,1.760706025,6.806931887
57,6.140079652,0.56,-0.02,5.117788341,3.392465273
58,5.174045545,0.57,-0.02,5.053377622,-1.110910398
59,4.534641698,0.58,-0.02,1.973960108,-4.082457204
60,4.521188177,0.59,-0.02,-2.040605663,-4.034485228
61,4.785338537,0.6,-0.02,-4.579202589,-1.389377042
62,4.751579496,0.61,-0.02,-4.338052665,1.938764241
63,4.214249061,0.62,-0.02,-1.783003088,3.818480736
64,3.45372668,0.63,-0.02,1.302774436,3.198594496
65,3.090183167,0.64,-0.02,3.022370514,0.643823331
66,3.320298094,0.65,-0.02,2.527152215,-2.153574033
67,3.530520786,0.66,-0.02,0.432569858,-3.50392071
68,3.233178361,0.67,-0.02,-1.703916515,-2.747746499
69,2.504438296,0.68,-0.02,-2.440993695,-0.560143694
70,2.086314302,0.69,-0.02,-1.347512123,1.592770682
71,2.566402155,0.7,-0.02,0.810632223,2.43501446
72,3.121579239,0.71,-0.02,2.648879393,1.651573465
73,3.083353692,0.72,-0.02,3.083321664,-0.014053585
74,2.394297713,0.73,-0.02,1.985352306,-1.33829659
75,1.459607241,0.74,-0.02,0.180861886,-1.448358477
76,1.206642712,0.75,-0.02,-1.152747461,-0.356594905
77,1.685853988,0.76,-0.02,-1.260945205,1.118982063
78,1.964932475,0.77,-0.02,-0.251504781,1.948770119
79,1.898850168,0.78,-0.02,1.05420345,1.579331202
80,1.73634938,0.79,-0.02,1.716101191,0.264397183
81,1.733196643,0.8,-0.02,1.297676557,-1.148915209
82,1.805863034,0.81,-0.02,0.111489173,-1.802418227
83,1.726951654,0.82,-0.02,-1.043758832,-1.375837751
84,1.467201413,0.83,-0.02,-1.445753821,-0.249951744
85,1.216469748,0.84,-0.02,-0.921502888,0.794122834
86,1.11419975,0.85,-0.02,0.073793984,1.111753359
87,0.999966211,0.86,-0.02,0.798673825,0.601708024
88,0.785153984,0.87,-0.02,0.736231865,-0.272817555
89,0.839117876,0.88,-0.02,-0.072640978,-0.835967761
90,1.272380021,0.89,-0.02,-1.08336169,-0.667291816
91,1.63591735,0.9,-0.02,-1.630723965,0.130249473
92,1.711843439,0.91,-0.02,-1.369813715,1.026653956
93,1.518195281,0.92,-0.02,-0.481546891,1.439801897
94,1.221530795,0.93,-0.02,0.478546312,1.123890969
95,1.015874214,0.94,-0.02,0.966357608,0.313294416
96,0.92333664,0.95,-0.02,0.800896238,-0.459473358
97,0.774129413,0.96,-0.02,0.250637469,-0.732432391
98,0.45408439,0.97,-0.02,-0.186544319,-0.413997404
99,0.231581712,0.98,-0.02,-0.144069891,0.181311765
100,0.676062564,0.99,-0.02,0.362490453,0.570667383
101,1.055083566,1,-0.02,0.958564041,0.440858606
